Trip_Distance,Type_of_Cab,Customer_Since_Months,Life_Style_Index,Confidence_Life_Style_Index,Destination_Type,Customer_Rating,Cancellation_Last_1Month,Var1,Var2,Var3,Gender,__FeatEng_target__,__index_level_0__
62.74,B,10.0,3.04304,B,B,4.055,3,,51,81,Male,2,4171
17.77,B,6.0,3.17858,A,D,2.0775,0,,58,89,Female,2,4172
62.16,B,10.0,,,C,3.95625,2,72.0,53,80,Male,3,4173
50.33,,5.0,2.8968,B,A,2.65125,0,31.0,53,90,Female,3,4174
38.28,C,3.0,2.81269,C,A,1.9625,1,81.0,54,92,Female,2,4175
18.83,E,1.0,2.81534,C,H,2.8725,3,52.0,54,76,Male,3,4176
41.9,D,10.0,2.68868,B,A,2.18,5,,48,84,Male,3,4178
31.06,,7.0,2.97493,A,B,3.31,0,,53,73,Male,1,4179
59.34,A,10.0,3.17506,C,C,3.9775,3,,53,73,Male,1,4180
53.85,,10.0,2.87908,C,A,2.2775,1,,49,79,Male,2,4182
14.01,E,,2.73301,B,C,1.525,1,,60,94,Male,1,4184
30.41,B,10.0,2.95536,B,B,2.695,0,34.0,55,80,Female,2,4187
51.51,C,10.0,2.87274,C,A,0.49625,0,61.0,55,85,Female,2,4188
14.15,B,,,,B,2.65,0,,47,62,Female,2,4190
31.04,C,10.0,2.54139,C,A,2.00875,1,,48,64,Male,2,4191
18.25,,3.0,2.73085,C,A,3.43875,1,109.0,58,91,Male,2,4192
18.46,C,0.0,2.48299,A,A,3.98,0,64.0,47,60,Male,2,4194
107.53,E,6.0,3.03579,B,A,2.96125,0,78.0,59,101,Female,3,4195
11.72,,5.0,2.6936,B,A,4.745,1,,44,58,Male,1,4197
32.17,C,8.0,2.67206,B,D,4.50875,0,,48,64,Male,2,4198
17.87,A,7.0,2.80488,C,B,2.58,1,47.0,48,79,Male,1,4199
8.12,A,2.0,2.88126,A,G,3.74875,0,,47,75,Male,1,4201
26.75,B,10.0,2.59615,B,A,1.0925,1,43.0,51,71,Male,2,4202
37.29,C,2.0,,,A,2.60875,1,98.0,51,85,Male,3,4203
50.15,,10.0,2.74373,C,A,1.41375,0,,49,69,Male,1,4204
49.54,,10.0,2.60182,B,A,4.35875,1,,45,59,Male,3,4206
56.22,E,5.0,,,A,1.87625,0,,46,68,Male,3,4207
71.17,B,10.0,2.85851,B,A,1.46875,1,,60,89,Female,2,4211
107.41,A,2.0,,,A,3.165,0,,47,70,Male,2,4214
12.73,,10.0,2.53038,A,A,2.335,0,36.0,51,81,Male,2,4215
54.72,D,0.0,3.00807,B,A,2.44375,0,,64,109,Male,2,4218
78.67,B,10.0,3.03499,C,A,1.285,1,49.0,50,93,Male,2,4219
43.5,A,3.0,2.59843,A,B,1.715,0,93.0,63,83,Male,1,4220
13.67,E,3.0,2.6881,A,B,3.64,0,40.0,47,59,Female,3,4221
9.12,C,0.0,2.57715,C,A,3.70125,2,,46,62,Female,2,4224
29.86,C,1.0,,,D,3.0,2,40.0,57,88,Male,2,4225
48.4,B,10.0,2.70501,B,B,3.77,0,,44,66,Male,2,4226
45.11,A,3.0,3.06283,A,A,3.215,1,,59,83,Male,1,4228
72.66,E,10.0,2.92103,C,A,3.43125,1,,49,69,Male,3,4232
33.75,E,5.0,2.72142,A,A,2.64125,2,,60,82,Male,3,4233
36.61,,2.0,2.81698,A,B,1.01125,0,32.0,55,82,Female,1,4235
29.42,B,10.0,2.78395,A,C,3.0975,3,39.0,50,64,Female,3,4236
107.01,E,10.0,3.24396,B,A,4.24625,1,41.0,51,85,Male,3,4237
30.75,,3.0,2.95725,C,D,3.27,0,,52,75,Male,2,4239
14.49,B,2.0,2.4375,A,B,3.42875,1,54.0,48,60,Male,2,4240
38.06,B,6.0,2.88072,A,A,3.865,3,92.0,52,84,Female,2,4241
60.48,,2.0,2.96771,B,A,2.51125,0,,49,72,Female,1,4242
45.15,E,3.0,3.08263,A,D,2.23,2,86.0,56,78,Male,3,4243
60.02,D,2.0,3.05535,B,A,4.2925,1,,49,64,Male,3,4245
44.42,,2.0,,,A,3.18625,2,39.0,51,86,Male,2,4247
27.28,B,10.0,2.68684,B,A,1.45875,0,44.0,48,90,Male,2,4248
57.96,C,0.0,3.2046,B,A,3.145,0,48.0,49,84,Female,2,4249
15.59,A,,,,A,2.89625,0,77.0,48,69,Female,1,4250
61.49,B,4.0,,,A,2.33625,0,77.0,52,79,Female,2,4253
14.35,,7.0,2.85822,B,D,4.35,1,31.0,44,56,Male,2,4254
9.77,C,6.0,,,A,3.3475,2,69.0,48,66,Male,2,4258
37.37,D,10.0,,,I,1.83125,1,88.0,71,114,Male,3,4259
29.68,C,1.0,2.61925,C,B,0.5825,2,47.0,56,84,Male,2,4264
33.33,D,0.0,,,A,3.00875,1,52.0,62,98,Female,3,4265
16.21,C,10.0,2.90942,A,B,4.49875,1,54.0,49,61,Male,3,4267
13.38,A,7.0,2.41552,B,A,2.41625,0,,46,58,Female,3,4268
15.44,B,10.0,2.7265,A,H,2.59125,2,58.0,46,71,Male,2,4269
107.04,C,1.0,3.12583,B,A,2.26375,4,95.0,62,95,Male,3,4270
41.1,B,9.0,2.60428,A,B,2.9525,0,,43,57,Female,2,4273
13.39,A,10.0,,,H,2.79625,0,,50,63,Male,1,4274
11.39,E,10.0,2.58837,C,D,2.61125,1,,48,68,Female,3,4275
30.87,D,10.0,2.84028,B,A,4.19625,1,,48,60,Male,3,4276
72.05,D,9.0,2.89418,B,B,1.59,0,,51,76,Female,3,4278
15.73,A,10.0,2.71008,C,A,1.63375,0,,60,80,Male,1,4281
62.14,A,7.0,2.71827,B,A,1.82125,0,,54,95,Male,1,4282
108.85,C,0.0,3.10925,B,A,2.3475,3,,52,77,Male,3,4283
33.66,C,10.0,2.38855,A,A,3.54125,0,74.0,47,69,Male,2,4284
15.64,B,2.0,2.42313,B,A,1.0075,0,,49,60,Male,2,4287
43.41,C,9.0,2.68828,C,C,4.44,0,59.0,45,61,Male,3,4288
23.02,C,10.0,2.77208,A,B,3.41,1,79.0,48,74,Male,2,4289
39.29,B,10.0,,,B,1.545,2,,52,76,Female,2,4291
86.57,C,10.0,3.0328,C,B,2.2625,1,,53,75,Male,3,4295
10.81,B,10.0,2.53919,B,B,4.43,0,,46,73,Female,2,4298
69.07,D,10.0,2.69622,B,A,1.94625,3,,50,73,Male,3,4300
41.44,D,3.0,2.7652,A,B,3.7175,1,,51,77,Female,1,4301
10.79,,10.0,2.97606,A,B,3.06,0,,55,88,Male,2,4302
46.3,B,9.0,,,B,2.19625,1,,57,78,Male,1,4303
31.5,B,10.0,2.78005,A,A,2.4575,0,36.0,50,72,Female,2,4304
78.55,E,10.0,2.90495,C,A,2.255,2,104.0,50,80,Female,3,4305
29.54,,2.0,2.7864,A,A,4.2325,1,,46,59,Male,3,4307
55.67,C,5.0,,,A,2.4675,1,107.0,50,71,Female,3,4310
60.08,,4.0,2.9966,C,B,4.3025,0,,51,78,Male,1,4311
38.09,C,2.0,2.7966,C,B,2.68375,0,,52,63,Male,2,4312
33.76,C,4.0,2.69327,C,A,3.97625,1,,47,59,Male,2,4313
70.48,A,7.0,2.8087,C,C,2.96375,1,,51,70,Male,3,4315
14.41,B,10.0,2.90323,A,A,3.07,0,107.0,54,89,Male,2,4316
29.34,C,10.0,2.93163,B,B,2.03125,2,105.0,52,68,Female,2,4317
32.14,C,10.0,2.6205,A,A,2.625,0,60.0,47,98,Male,2,4318
91.83,A,10.0,2.97824,B,A,3.48375,0,102.0,49,67,Male,3,4319
26.95,C,10.0,2.55705,A,C,2.26125,7,,50,67,Female,2,4320
31.28,C,9.0,2.4964,A,A,1.5375,0,102.0,55,75,Female,2,4321
60.8,B,2.0,2.74398,B,B,2.01375,3,,49,64,Male,2,4322
92.28,B,1.0,,,A,2.13375,0,50.0,50,82,Male,3,4323
5.7,D,10.0,2.78339,A,A,2.41,2,42.0,46,78,Male,3,4324
84.83,D,8.0,2.89737,B,A,2.79,0,,65,97,Female,3,4325
48.13,B,4.0,2.77718,B,A,3.1575,1,92.0,51,66,Female,3,4327
37.01,E,10.0,,,D,4.31375,0,72.0,47,61,Male,3,4329
15.28,D,7.0,2.62077,A,A,3.51625,0,,60,92,Male,2,4330
38.18,E,10.0,2.56925,B,A,1.54625,1,,49,68,Female,3,4331
44.86,D,4.0,,,D,4.475,2,,47,61,Male,3,4333
47.14,C,10.0,2.77187,C,B,3.115,0,,44,67,Female,3,4334
7.74,D,,1.88947,B,A,3.04125,1,,45,60,Male,3,4335
49.2,C,4.0,2.74154,C,A,1.74375,0,,47,68,Male,3,4338
46.78,E,2.0,2.66034,B,C,2.63625,0,41.0,60,93,Male,3,4339
46.17,E,3.0,2.7727,B,A,2.4525,0,74.0,48,79,Male,3,4340
31.68,C,10.0,2.64365,C,A,3.53625,1,47.0,49,78,Female,3,4341
14.46,C,,2.74126,C,B,2.22625,2,,52,83,Male,2,4342
15.92,B,,2.00156,B,D,4.20625,0,64.0,46,63,Male,2,4343
91.47,C,6.0,2.89878,C,C,2.25125,1,44.0,49,68,Female,3,4344
38.35,E,3.0,3.15987,C,A,2.70875,0,,52,83,Male,2,4345
36.38,,9.0,2.75938,C,A,3.11,1,69.0,52,95,Female,3,4346
39.74,,6.0,2.6291,A,E,4.70125,0,36.0,45,77,Female,3,4347
29.71,B,9.0,2.7839,A,B,1.7125,1,77.0,63,100,Male,2,4353
35.32,C,2.0,2.51384,B,A,2.03625,0,,49,68,Male,2,4355
37.02,B,3.0,2.53954,C,B,3.2725,2,,45,64,Male,2,4356
26.71,A,8.0,2.93636,A,A,2.94875,3,,58,78,Male,1,4357
29.32,,10.0,2.57756,B,B,1.93875,0,110.0,51,80,Male,1,4358
60.09,A,10.0,2.87647,C,A,3.01625,0,58.0,58,84,Male,1,4360
38.37,D,,2.56709,B,C,3.93,0,,46,68,Female,3,4361
23.12,C,2.0,2.56621,A,D,3.1525,3,,43,58,Male,2,4364
28.73,B,1.0,2.72682,A,B,2.26625,0,85.0,53,75,Male,2,4365
36.65,D,5.0,2.84358,A,B,3.7075,1,,56,69,Male,1,4367
27.68,A,10.0,2.74125,C,B,3.27125,1,36.0,52,76,Male,1,4368
48.24,A,5.0,2.81635,A,A,3.9125,0,73.0,60,87,Male,1,4374
58.86,E,0.0,2.84004,C,A,1.625,1,44.0,55,91,Female,3,4375
30.87,E,0.0,,,A,3.27875,0,,50,62,Male,3,4376
20.64,E,2.0,2.68904,A,A,1.6475,0,113.0,46,63,Female,3,4377
44.9,B,2.0,,,A,3.01625,0,87.0,53,88,Male,1,4378
73.28,,2.0,3.09876,C,D,3.6825,0,65.0,49,66,Female,3,4380
51.9,,6.0,2.85344,B,A,2.3975,3,74.0,57,80,Male,3,4381
60.86,D,9.0,,,A,2.3725,1,,61,104,Male,3,4382
62.52,D,10.0,2.75935,C,A,2.89625,1,67.0,49,72,Male,3,4383
37.86,,5.0,2.61117,B,A,1.22,1,46.0,50,83,Male,3,4385
36.76,A,10.0,2.85491,C,B,2.0625,0,88.0,48,76,Female,1,4386
26.9,D,0.0,2.77398,B,A,4.755,2,,48,61,Female,3,4388
21.98,B,5.0,2.50372,A,B,3.49,1,48.0,46,60,Male,2,4389
36.23,A,7.0,2.5325,B,B,3.815,0,,44,61,Male,1,4390
47.43,D,10.0,,,A,2.795,2,38.0,51,73,Male,3,4391
54.52,B,0.0,2.59177,A,A,1.80125,0,,56,75,Female,2,4393
7.89,C,8.0,2.7495,A,D,4.4375,2,64.0,55,75,Male,3,4394
45.59,C,4.0,2.87296,C,A,4.00625,0,,50,69,Male,2,4396
49.37,D,7.0,3.14558,C,A,3.92625,1,,55,70,Male,3,4397
36.92,,10.0,,,A,4.105,0,,44,64,Male,1,4400
32.8,C,4.0,3.00211,B,B,4.9475,3,102.0,43,63,Male,3,4401
107.5,E,10.0,3.14716,B,B,3.12375,0,,50,84,Male,3,4405
31.81,B,10.0,2.77378,C,G,1.94,1,,61,91,Female,3,4406
53.99,B,10.0,2.74227,B,B,2.745,0,104.0,59,98,Male,2,4407
45.47,E,3.0,,,C,3.14125,1,51.0,47,81,Male,3,4408
33.67,A,0.0,2.78297,C,F,3.5425,2,,47,57,Female,1,4410
38.14,B,10.0,2.98774,B,A,3.50875,0,,53,79,Male,2,4412
49.94,A,10.0,2.77475,A,A,3.685,1,,51,88,Male,1,4413
35.82,C,3.0,2.70336,A,A,3.58125,0,,48,61,Male,3,4414
98.39,D,10.0,2.85953,B,A,3.00375,0,67.0,61,83,Female,3,4416
28.96,,3.0,2.65286,A,A,4.52,5,,44,67,Female,2,4417
55.67,B,6.0,2.64719,A,A,1.73375,0,,52,66,Male,2,4420
41.94,C,5.0,2.49428,C,A,3.47625,1,,44,57,Male,2,4425
18.35,B,7.0,2.71903,A,A,4.33875,1,,52,63,Female,2,4427
65.26,,5.0,2.99997,C,B,2.36875,0,,51,73,Male,1,4429
86.92,B,10.0,3.34083,B,A,3.255,3,,50,76,Female,2,4430
37.02,,1.0,2.84729,A,B,4.28625,0,59.0,47,70,Male,1,4431
31.7,B,10.0,2.90357,A,A,3.85375,1,88.0,46,87,Female,1,4432
93.23,,10.0,3.04254,B,A,2.4325,0,37.0,50,93,Male,3,4433
23.97,E,2.0,2.65843,B,B,4.06625,0,60.0,50,66,Male,3,4434
14.75,,10.0,2.74378,A,B,1.465,0,,55,93,Male,1,4435
12.6,C,10.0,2.55918,A,D,2.38125,0,95.0,48,71,Male,2,4436
60.1,A,8.0,2.87988,B,A,1.65625,1,,55,91,Male,1,4437
29.23,C,2.0,2.82168,B,B,2.08125,0,,54,79,Male,2,4438
46.0,C,2.0,2.75736,B,B,3.72375,0,,54,68,Female,3,4439
38.26,A,10.0,2.66038,C,A,3.1675,0,,44,55,Male,3,4442
36.79,A,1.0,2.64534,A,B,2.85,0,,48,61,Male,1,4444
45.06,C,,2.81246,B,A,1.6175,0,,54,78,Male,3,4445
25.54,C,3.0,2.70603,C,B,1.7775,0,,50,68,Male,2,4446
31.12,D,10.0,2.74334,A,A,2.895,0,,55,94,Male,1,4447
33.37,B,9.0,,,A,3.2975,0,,52,70,Male,2,4448
35.57,,3.0,2.89252,A,A,3.2775,3,58.0,52,79,Male,3,4449
49.8,B,1.0,2.99761,A,A,3.1925,1,36.0,56,90,Male,1,4451
49.64,B,10.0,2.83113,A,A,3.02375,3,71.0,48,75,Female,2,4452
11.16,,,2.29675,B,A,2.14125,2,98.0,48,61,Male,2,4455
14.62,D,5.0,2.49899,C,A,1.70375,0,113.0,44,55,Female,2,4458
45.3,B,10.0,,,A,3.4275,2,39.0,46,69,Male,2,4459
47.42,,5.0,2.61641,C,D,3.6325,0,,48,63,Male,2,4461
34.58,B,4.0,3.09907,A,A,4.355,1,,59,140,Male,2,4463
21.93,D,3.0,2.27003,C,A,2.1,0,,53,69,Female,2,4465
54.92,D,,2.73732,B,A,2.04375,0,,66,92,Male,2,4466
6.9,A,2.0,2.69526,C,G,3.765,0,,52,73,Male,1,4468
40.41,C,5.0,2.59977,A,D,2.01875,0,,48,78,Male,2,4469
38.62,C,5.0,2.6197,B,A,1.2575,0,38.0,49,64,Male,3,4473
30.71,A,6.0,2.549,C,D,1.92625,0,102.0,48,62,Female,3,4474
93.61,C,10.0,2.99448,B,A,1.9575,1,58.0,46,79,Male,2,4475
8.96,C,8.0,2.54034,C,A,1.64625,0,100.0,51,72,Female,3,4476
64.56,C,4.0,2.74667,C,B,2.3,0,43.0,54,81,Male,3,4477
18.7,C,5.0,3.0193,C,B,4.04125,1,38.0,51,66,Male,3,4479
27.23,E,6.0,,,H,2.98375,1,32.0,51,90,Female,3,4480
56.17,B,3.0,3.0998,B,A,3.29,0,31.0,61,85,Male,3,4481
17.9,,6.0,2.64111,B,B,3.59125,1,,45,59,Female,3,4482
24.28,C,4.0,2.5365,A,A,3.5475,0,,47,69,Male,3,4483
59.4,C,10.0,3.03413,B,D,0.56125,0,88.0,56,87,Male,2,4485
77.34,C,4.0,2.77746,C,B,2.4375,1,69.0,56,79,Female,2,4486
30.08,B,10.0,2.53043,B,D,3.87,3,42.0,51,79,Male,2,4487
56.78,B,10.0,2.90122,C,A,3.08125,1,110.0,55,69,Female,2,4492
95.97,C,5.0,3.19405,C,A,2.32875,0,,60,94,Female,2,4494
26.46,,0.0,2.65608,A,A,1.01375,0,,61,82,Male,2,4497
35.88,B,5.0,2.76702,B,A,1.65875,1,,64,93,Female,2,4499
16.21,B,10.0,2.90263,C,A,1.43625,0,89.0,56,82,Male,1,4500
29.64,C,0.0,,,A,3.85625,1,46.0,46,68,Male,2,4501
94.78,D,1.0,2.84123,B,A,3.23625,1,37.0,55,79,Male,3,4503
6.06,D,7.0,2.74572,A,B,4.19875,1,98.0,50,74,Male,2,4504
15.09,E,5.0,2.64662,B,A,2.41,2,62.0,52,81,Male,3,4506
60.17,B,10.0,2.83995,A,A,4.09375,0,44.0,47,58,Female,2,4507
46.89,A,9.0,2.6379,A,A,3.125,0,78.0,48,66,Female,1,4508
30.57,B,1.0,2.84899,A,A,2.40875,1,60.0,56,85,Male,2,4509
39.85,B,10.0,2.97836,A,A,4.55,0,,52,70,Female,2,4510
62.61,A,10.0,,,A,3.3375,0,,51,74,Male,1,4511
31.15,D,6.0,,,A,1.00875,2,,49,70,Female,2,4514
33.58,B,5.0,,,B,3.12625,0,,52,66,Male,2,4516
23.26,,10.0,3.06285,C,A,1.91,0,94.0,48,88,Male,2,4517
66.2,C,10.0,2.93969,B,A,3.21375,1,54.0,47,60,Female,3,4518
55.01,D,9.0,2.65089,C,A,1.98,1,,47,64,Female,3,4522
16.23,A,5.0,2.70382,A,B,3.6675,0,,44,57,Female,1,4523
82.82,D,10.0,2.78424,C,A,3.69625,0,47.0,49,77,Male,3,4524
32.14,A,3.0,2.98977,A,A,3.0175,1,,50,92,Male,1,4525
17.03,B,10.0,2.9757,C,A,2.8375,0,,53,84,Female,1,4526
41.82,C,10.0,,,A,0.9025,0,49.0,57,86,Male,3,4529
62.1,D,10.0,,,A,2.6325,0,,49,67,Male,2,4530
46.31,,10.0,3.06206,A,A,2.225,0,113.0,55,93,Female,2,4531
10.06,,0.0,2.62908,A,D,3.22125,1,,49,71,Female,1,4532
76.97,E,4.0,3.0681,B,L,3.36,1,88.0,51,81,Female,2,4533
11.15,C,4.0,2.49146,A,B,2.13,0,45.0,47,68,Male,2,4534
61.83,B,0.0,,,A,2.98,0,,59,92,Female,2,4536
25.26,C,10.0,2.83477,A,N,3.5625,1,,52,64,Male,2,4537
4.27,A,0.0,2.87532,A,H,4.6975,3,,44,54,Female,1,4538
65.29,D,1.0,2.92654,C,C,2.92125,1,,49,73,Female,2,4539
21.07,A,6.0,2.51924,A,C,3.2275,0,86.0,54,82,Male,1,4540
56.37,A,10.0,2.8852,A,A,2.63,3,,51,72,Female,2,4542
32.88,C,7.0,2.6072,C,A,2.31375,1,,53,77,Male,2,4545
99.34,,4.0,2.8747,C,A,2.13,1,,58,86,Female,3,4546
49.18,D,5.0,3.08166,C,B,2.82125,3,,59,89,Male,3,4548
14.52,B,9.0,3.01285,A,I,4.1775,0,83.0,51,71,Male,2,4552
45.39,D,0.0,2.7446,B,F,3.79125,0,,44,58,Female,3,4555
47.94,C,5.0,2.7746,B,A,3.0025,3,,53,78,Male,3,4556
78.42,E,5.0,3.06116,B,A,1.8575,4,,54,73,Male,3,4557
94.96,D,2.0,2.84481,B,B,2.46375,0,,47,66,Male,3,4558
19.7,,4.0,2.92613,B,B,4.09,1,,47,66,Male,2,4559
54.42,B,10.0,3.16323,C,A,3.985,1,,49,84,Female,2,4560
73.38,B,6.0,2.97536,B,A,3.31375,0,,59,88,Female,2,4561
42.64,E,3.0,2.95865,A,B,3.85375,1,49.0,47,69,Male,3,4563
54.91,D,10.0,2.80847,B,A,2.9075,0,60.0,61,78,Female,3,4564
21.85,A,2.0,2.86295,A,A,1.9525,0,,52,70,Female,1,4568
49.9,D,10.0,2.72894,A,A,3.03375,1,,49,74,Male,3,4572
45.91,B,10.0,2.81511,C,A,4.71375,0,94.0,48,71,Male,1,4573
75.88,A,6.0,3.01959,A,B,3.13125,1,,49,85,Male,1,4574
47.46,,10.0,3.11099,A,E,3.95375,1,41.0,52,79,Male,2,4575
61.25,D,2.0,2.90414,C,A,0.77,2,,49,63,Male,3,4576
13.12,C,3.0,2.63838,C,A,3.59375,1,51.0,51,78,Male,2,4578
41.19,,4.0,,,A,3.77875,0,,46,67,Male,1,4579
14.27,B,0.0,2.56813,B,D,2.78875,0,,50,61,Male,2,4581
39.19,D,10.0,,,A,2.88625,0,,49,77,Male,3,4584
27.63,C,1.0,2.89801,C,B,2.395,0,39.0,47,88,Female,3,4586
93.41,A,10.0,,,A,1.28375,0,,52,74,Male,3,4590
61.14,A,1.0,3.09892,C,A,4.435,0,,48,68,Male,1,4593
38.42,B,4.0,3.02377,A,A,3.7775,2,,49,74,Male,2,4594
38.23,A,5.0,2.97785,B,B,3.21375,0,67.0,50,83,Female,1,4596
35.58,,10.0,2.64874,A,B,2.22,1,,53,78,Female,3,4597
56.89,C,10.0,3.08049,B,A,1.295,2,,55,72,Male,2,4599
30.01,B,10.0,2.61053,B,A,3.15875,2,,46,65,Female,2,4601
43.37,A,0.0,2.70731,B,F,2.26625,0,,50,79,Male,3,4602
75.45,D,5.0,3.212,C,B,2.36625,1,,53,84,Female,3,4604
36.1,A,10.0,2.70784,B,A,3.4675,1,,51,78,Male,1,4605
11.43,B,10.0,2.61139,A,B,3.16625,1,82.0,49,70,Female,2,4607
63.27,E,10.0,2.8395,B,C,1.33125,4,45.0,62,95,Male,3,4609
91.79,B,10.0,2.8431,B,A,2.24625,1,,57,92,Female,3,4610
44.77,D,2.0,2.69992,C,A,2.70125,1,,48,63,Male,3,4613
48.9,C,10.0,2.92144,B,A,3.4625,0,,45,69,Male,2,4614
45.22,D,0.0,,,B,0.29375,1,,58,89,Male,3,4616
20.22,C,,2.33674,B,B,3.1925,3,105.0,49,87,Female,2,4617
19.16,D,10.0,,,C,2.695,3,49.0,54,87,Female,3,4619
63.49,E,,2.69989,B,A,1.3475,0,78.0,57,72,Male,3,4620
49.27,B,10.0,2.77091,A,A,3.1275,1,80.0,49,75,Male,2,4621
13.59,D,0.0,,,A,1.685,1,,50,67,Male,3,4622
61.5,A,10.0,,,A,3.75625,1,90.0,65,113,Male,1,4623
56.51,,5.0,2.7196,B,A,2.4175,0,,55,85,Male,2,4624
108.19,B,10.0,,,A,3.40125,0,44.0,56,80,Male,2,4625
23.57,,,2.5362,B,A,1.39125,3,65.0,51,66,Male,2,4627
9.27,A,6.0,2.97415,A,E,2.59875,2,49.0,53,78,Male,1,4629
48.78,E,10.0,,,A,2.875,2,,57,95,Male,3,4630
41.62,,5.0,2.8157,A,A,1.71625,1,,56,78,Male,2,4631
12.53,E,2.0,2.42801,A,D,1.605,2,,47,63,Male,3,4632
25.08,B,,,,E,2.6,0,71.0,50,74,Male,2,4635
37.18,A,3.0,2.91132,A,A,2.98875,0,,50,98,Male,1,4638
85.3,D,10.0,2.89302,B,B,1.50625,1,,51,95,Male,3,4640
49.83,A,10.0,2.68234,A,B,3.55,0,,53,65,Male,1,4643
50.54,D,10.0,2.56166,B,A,1.37125,1,75.0,49,85,Male,3,4644
12.12,E,10.0,2.81475,A,J,2.90625,2,43.0,51,74,Male,3,4646
99.4,C,6.0,3.10032,B,A,2.63,3,63.0,55,87,Male,2,4648
14.91,,7.0,2.63547,C,A,3.125,2,,46,63,Male,1,4649
29.57,,4.0,2.71459,C,A,3.2025,0,81.0,47,65,Male,2,4652
37.58,C,1.0,2.60912,C,A,2.3675,1,,57,77,Male,2,4654
24.86,C,3.0,2.55018,A,D,1.35,3,,54,75,Male,2,4657
60.26,C,3.0,2.65777,B,A,0.695,2,,49,81,Male,3,4660
36.26,D,6.0,2.67481,C,A,1.56875,0,,51,67,Male,3,4661
91.46,D,3.0,,,C,1.6375,1,,54,69,Male,3,4662
20.65,B,1.0,2.71846,C,D,2.81625,2,,51,67,Male,2,4663
91.77,B,10.0,2.81619,B,B,1.3025,1,92.0,50,88,Female,1,4664
55.28,E,0.0,3.00156,C,A,2.21,1,58.0,50,91,Female,1,4665
49.93,,0.0,2.57136,C,B,1.09125,1,,59,77,Male,3,4667
61.35,B,7.0,3.21673,B,A,2.52125,0,74.0,59,88,Male,1,4668
51.52,B,10.0,,,A,4.01875,0,42.0,47,64,Male,2,4669
27.14,A,5.0,2.83402,A,A,3.66125,1,66.0,50,69,Male,1,4670
14.92,B,10.0,,,A,3.54,0,,46,79,Female,2,4673
32.85,C,5.0,2.57952,A,A,1.585,3,,60,93,Male,2,4675
59.14,B,6.0,3.15885,B,A,4.215,1,,46,64,Male,2,4676
47.06,D,10.0,2.85349,C,A,2.7775,1,,59,79,Male,2,4678
90.89,E,3.0,3.36172,C,G,4.99,3,,42,52,Male,3,4682
14.5,B,10.0,2.93718,B,A,4.91125,4,108.0,45,57,Female,2,4685
92.52,E,10.0,2.81253,B,C,2.9325,0,,48,69,Male,2,4687
14.63,A,3.0,2.48598,A,A,1.2975,0,,79,120,Male,1,4692
47.5,D,10.0,2.92567,C,A,3.23,0,55.0,48,79,Female,3,4695
78.24,B,10.0,2.88939,C,B,2.63125,0,,55,95,Male,1,4696
29.99,B,3.0,2.92452,A,B,0.45,1,,54,79,Male,1,4697
31.67,A,9.0,2.67164,B,A,3.6175,1,106.0,58,72,Male,3,4699
91.17,,0.0,2.98042,B,A,1.32875,2,,51,113,Male,3,4700
56.66,C,10.0,,,A,3.0475,1,,51,84,Female,2,4702
19.57,B,0.0,,,B,1.87,1,,56,73,Male,1,4703
47.11,B,4.0,2.81433,C,A,2.1225,1,91.0,54,83,Male,2,4704
48.14,A,3.0,2.82697,B,A,1.74125,0,,52,77,Male,3,4705
23.91,B,5.0,,,B,4.17125,1,80.0,49,71,Female,1,4710
64.15,B,2.0,2.97884,C,A,2.59125,0,,55,82,Female,2,4711
49.73,C,10.0,2.6749,C,B,0.675,0,82.0,50,92,Female,3,4712
38.15,,2.0,,,A,4.35,0,,47,69,Male,2,4713
60.1,E,,2.99635,C,A,2.4225,2,,54,82,Female,3,4714
92.22,D,4.0,3.04487,C,C,3.145,2,,51,95,Male,2,4715
49.54,C,10.0,2.63892,A,B,2.81,0,,49,65,Male,3,4716
30.78,D,10.0,2.69912,A,A,1.93125,0,88.0,50,76,Male,3,4717
38.43,B,2.0,2.57153,A,A,4.03875,1,,48,61,Male,2,4718
49.17,C,1.0,2.98153,C,A,3.625,1,,46,64,Male,2,4719
108.35,A,6.0,3.03719,B,A,2.90125,1,74.0,48,78,Male,3,4720
61.1,,5.0,2.77409,B,A,1.20875,0,,60,84,Male,2,4724
47.4,B,7.0,2.85617,A,A,2.95125,0,66.0,55,75,Male,1,4725
15.06,,0.0,2.54558,A,A,3.45375,2,,49,59,Male,2,4726
16.68,B,5.0,2.87508,A,A,3.92625,0,46.0,48,64,Male,2,4728
54.8,B,8.0,2.631,A,A,3.015,0,86.0,45,66,Male,3,4729
13.12,B,3.0,2.54193,C,A,4.45125,0,,43,64,Male,2,4730
45.0,B,1.0,,,A,2.275,0,50.0,54,79,Male,2,4731
45.75,E,2.0,2.61715,C,B,2.3425,0,,56,71,Male,3,4733
23.18,D,10.0,,,B,2.0875,2,,48,74,Male,2,4734
21.43,C,1.0,2.96817,B,B,3.40125,2,65.0,47,66,Male,3,4736
18.24,,10.0,3.05779,A,B,3.08625,1,,48,80,Male,2,4737
91.34,D,8.0,2.90434,C,A,3.3175,0,,58,88,Male,3,4738
9.43,E,10.0,,,D,3.775,3,,47,70,Male,3,4740
91.02,,2.0,3.05478,B,A,3.5725,0,,48,69,Male,1,4741
28.16,A,6.0,2.56756,C,A,2.57875,0,46.0,46,64,Male,3,4744
